MEXICO,Are you in Mexico? (Or in a Mexican restaurant?)
PWN_NOOBS,Do you PwN n0oBs?
DIET,Are you on a diet?
OSTENTATIOUS,Are you ostentatious?
BOOST,Do you need a boost?
ANIMATED,Are you animated?
